timestamp,temperature,humidity,predicted_demand_mw
2026-09-01 00:00:00,29.4,77,4958.56640625
2026-09-01 01:00:00,28.9,78,4822.0869140625
2026-09-01 02:00:00,28.4,77,4767.50830078125
2026-09-01 03:00:00,28.1,75,4702.94580078125
2026-09-01 04:00:00,27.8,74,4800.03759765625
2026-09-01 05:00:00,28.2,72,4879.818359375
2026-09-01 06:00:00,27.7,74,5741.4921875
2026-09-01 07:00:00,28.5,73,6051.1728515625
2026-09-01 08:00:00,29.5,69,6223.07275390625
2026-09-01 09:00:00,30.8,65,6728.0166015625
2026-09-01 10:00:00,32.1,60,6582.4541015625
2026-09-01 11:00:00,32.6,55,6559.63232421875
2026-09-01 12:00:00,33.4,52,6604.64697265625
2026-09-01 13:00:00,34.3,49,6531.23876953125
2026-09-01 14:00:00,33.6,52,6717.6103515625
2026-09-01 15:00:00,31.7,61,6510.9072265625
2026-09-01 16:00:00,32.1,59,6655.0732421875
2026-09-01 17:00:00,31.7,64,6710.9609375
2026-09-01 18:00:00,31.6,62,6854.48583984375
2026-09-01 19:00:00,30.7,67,6627.73291015625
2026-09-01 20:00:00,29.9,73,6539.35302734375
2026-09-01 21:00:00,29.5,76,6354.08154296875
2026-09-01 22:00:00,29.2,80,6204.3837890625
2026-09-01 23:00:00,27.3,82,5792.98876953125
