timestamp,temperature,humidity,predicted_demand_mw
2026-09-01 00:00:00,29.4,77,4958.56640625
2026-09-01 01:00:00,28.9,78,4822.0869140625
2026-09-01 02:00:00,28.4,77,4767.50830078125
2026-09-01 03:00:00,28.1,75,4702.94580078125
2026-09-01 04:00:00,27.8,74,4800.03759765625
2026-09-01 05:00:00,28.2,72,4879.818359375
2026-09-01 06:00:00,27.7,74,5741.4921875
2026-09-01 07:00:00,28.5,73,6051.1728515625
2026-09-01 08:00:00,29.5,69,6223.07275390625
2026-09-01 09:00:00,30.8,65,6728.0166015625
2026-09-01 10:00:00,32.1,60,6582.4541015625
2026-09-01 11:00:00,32.6,55,6559.63232421875
2026-09-01 12:00:00,33.4,52,6604.64697265625
2026-09-01 13:00:00,34.3,49,6531.23876953125
2026-09-01 14:00:00,33.6,52,6717.6103515625
2026-09-01 15:00:00,31.7,61,6510.9072265625
2026-09-01 16:00:00,32.1,59,6655.0732421875
2026-09-01 17:00:00,31.7,64,6710.9609375
2026-09-01 18:00:00,31.6,62,6854.48583984375
2026-09-01 19:00:00,30.7,67,6627.73291015625
2026-09-01 20:00:00,29.9,73,6539.35302734375
2026-09-01 21:00:00,29.5,76,6354.08154296875
2026-09-01 22:00:00,29.2,80,6204.3837890625
2026-09-01 23:00:00,27.3,82,5792.98876953125
2026-09-02 00:00:00,27.2,84,4837.4150390625
2026-09-02 01:00:00,26.5,88,4699.46728515625
2026-09-02 02:00:00,26.1,91,4675.89453125
2026-09-02 03:00:00,26.1,91,4765.44921875
2026-09-02 04:00:00,26.2,91,4710.38330078125
2026-09-02 05:00:00,26.1,91,4756.5546875
2026-09-02 06:00:00,26.2,90,5716.43310546875
2026-09-02 07:00:00,26.5,86,6058.21337890625
2026-09-02 08:00:00,28.4,76,6416.90966796875
2026-09-02 09:00:00,30.1,69,6386.9365234375
2026-09-02 10:00:00,31.7,62,6676.0263671875
2026-09-02 11:00:00,32.5,60,6617.564453125
2026-09-02 12:00:00,26.5,91,6159.8759765625
2026-09-02 13:00:00,26.5,95,6054.15576171875
2026-09-02 14:00:00,28.7,83,6097.43896484375
2026-09-02 15:00:00,29.0,77,6237.34423828125
2026-09-02 16:00:00,29.3,76,6513.08251953125
2026-09-02 17:00:00,30.5,66,6611.08740234375
2026-09-02 18:00:00,29.1,72,6597.232421875
2026-09-02 19:00:00,28.6,74,6519.916015625
2026-09-02 20:00:00,28.1,76,6368.14453125
2026-09-02 21:00:00,27.6,82,6190.9462890625
2026-09-02 22:00:00,27.2,86,6210.07958984375
2026-09-02 23:00:00,27.4,89,5811.12841796875
2026-09-03 00:00:00,26.9,90,4703.810546875
2026-09-03 01:00:00,26.4,90,4789.45458984375
2026-09-03 02:00:00,25.9,91,4729.06103515625
2026-09-03 03:00:00,25.7,93,4760.29248046875
2026-09-03 04:00:00,25.6,93,4812.810546875
2026-09-03 05:00:00,25.6,98,4831.48583984375
2026-09-03 06:00:00,25.8,97,5644.458984375
2026-09-03 07:00:00,26.5,95,6322.1123046875
2026-09-03 08:00:00,27.9,86,6121.51171875
2026-09-03 09:00:00,29.2,82,6159.46435546875
2026-09-03 10:00:00,30.3,76,6426.998046875
2026-09-03 11:00:00,31.2,69,6372.0224609375
2026-09-03 12:00:00,31.4,68,6208.35693359375
2026-09-03 13:00:00,31.5,64,6146.37109375
2026-09-03 14:00:00,31.7,62,6235.69091796875
2026-09-03 15:00:00,31.8,62,6248.484375
2026-09-03 16:00:00,31.7,62,6456.08837890625
2026-09-03 17:00:00,28.7,84,6478.91162109375
2026-09-03 18:00:00,27.8,87,6496.85693359375
2026-09-03 19:00:00,27.4,90,6480.55224609375
2026-09-03 20:00:00,27.3,90,6232.685546875
2026-09-03 21:00:00,27.1,90,6237.2841796875
2026-09-03 22:00:00,27.1,90,6106.8740234375
2026-09-03 23:00:00,28.3,89,5901.85888671875
2026-09-04 00:00:00,27.1,95,4715.5322265625
2026-09-04 01:00:00,26.8,97,4783.05126953125
2026-09-04 02:00:00,26.9,96,4709.43603515625
2026-09-04 03:00:00,26.9,94,4817.509765625
2026-09-04 04:00:00,26.6,94,4726.97802734375
2026-09-04 05:00:00,26.8,97,5072.888671875
2026-09-04 06:00:00,26.0,97,5566.16748046875
2026-09-04 07:00:00,25.8,97,6066.2734375
2026-09-04 08:00:00,26.8,90,6201.681640625
2026-09-04 09:00:00,28.5,81,6103.7392578125
2026-09-04 10:00:00,29.7,78,6400.52880859375
2026-09-04 11:00:00,29.3,81,6052.09326171875
2026-09-04 12:00:00,29.1,81,6009.734375
2026-09-04 13:00:00,30.2,75,5947.74267578125
2026-09-04 14:00:00,29.5,76,6071.44482421875
2026-09-04 15:00:00,29.7,76,6057.00244140625
2026-09-04 16:00:00,29.7,76,6172.2548828125
2026-09-04 17:00:00,29.1,80,6404.771484375
2026-09-04 18:00:00,28.5,84,6279.8876953125
2026-09-04 19:00:00,28.0,87,6480.77490234375
2026-09-04 20:00:00,27.8,89,6323.80517578125
2026-09-04 21:00:00,27.4,89,6235.7314453125
2026-09-04 22:00:00,27.3,92,6153.8046875
2026-09-04 23:00:00,26.9,92,5949.11328125
2026-09-05 00:00:00,26.7,92,4566.6103515625
2026-09-05 01:00:00,26.6,92,4676.37353515625
